"productid","product_name","productdescription","warehouse","country","totalstockonhand","totalstockmovement"
"01ec303d-d9b8-45ac-9952-42b7a94d57f7",Generic Wooden Chips,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,SAP1 - Amazon San Paolo,Brasil,728,292
"01ec303d-d9b8-45ac-9952-42b7a94d57f7",Generic Wooden Chips,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,ZRH13 - Amazon Zurich,Switzerland,248,98
"01ec303d-d9b8-45ac-9952-42b7a94d57f7",Generic Wooden Chips,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,MIS1 - Amazon Mississauga,Canada,289,96
"01ec303d-d9b8-45ac-9952-42b7a94d57f7",Generic Wooden Chips,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,LIS3 - Amazon Lisbon,Portugal,745,336
"01ec303d-d9b8-45ac-9952-42b7a94d57f7",Generic Wooden Chips,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,CWL1 - Amazon Swansea,United Kingdom,827,278
"01ec303d-d9b8-45ac-9952-42b7a94d57f7",Generic Wooden Chips,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,HOU2 - Amazon Houston,United States of America,299,91
"0249bc56-a9a3-4c27-9141-77d2af46c3c4",Licensed Cotton Keyboard,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",MIA1 - Amazon Miami,United States of America,159,90
"0249bc56-a9a3-4c27-9141-77d2af46c3c4",Licensed Cotton Keyboard,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",DUB19 - Amazon Dublin,Ireland,696,302
"0249bc56-a9a3-4c27-9141-77d2af46c3c4",Licensed Cotton Keyboard,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",SYD1 - Amazon Sidney,Australia,352,91
"0249bc56-a9a3-4c27-9141-77d2af46c3c4",Licensed Cotton Keyboard,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",PHX7 - Amazon Phoenix,United States of America,262,71
